DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark
Antioch Unified,7,61648,"189,826,404","15,718.3","12,077",Unified                  ,1507,420,320,0,320,76.19,202,0,202,48.10,196,46.67
Apple Valley Unified,36,75077,"142,832,814","12,256.1","11,654",Unified                  ,1024,301,211,0,211,70.10,120,0,120,39.87,112,37.21
Arcadia Unified,19,64261,"101,395,950","9,209.9","11,009",Unified                  ,892,637,600,1,601,94.35,572,1,573,89.95,560,87.91
Atascadero Unified,40,68700,"45,624,457","4,484.0","10,175",Unified                  ,362,103,97,0,97,94.17,76,0,76,73.79,75,72.82
Azusa Unified,19,64279,"107,281,500","7,964.3","13,470",Unified                  ,683,249,152,0,152,61.04,80,0,80,32.13,71,28.51
Baldwin Park Unified,19,64287,"162,058,735","12,470.5","12,995",Unified                  ,1923,571,402,1,403,70.58,209,0,209,36.60,196,34.33
Banning Unified,33,66985,"54,654,399","4,226.2","12,932",Unified                  ,354,104,63,0,63,60.58,39,0,39,37.50,29,27.88
Barstow Unified,36,67611,"65,007,114","5,792.0","11,224",Unified                  ,377,85,55,0,55,64.71,37,0,37,43.53,33,38.82
Bassett Unified,19,64295,"47,437,464","3,415.9","13,887",Unified                  ,302,144,78,0,78,54.17,55,0,55,38.19,49,34.03
Bear Valley Unified,36,67637,"27,454,822","2,330.0","11,783",Unified                  ,195,58,51,0,51,87.93,45,0,45,77.59,43,74.14
Beaumont Unified,33,66993,"100,905,897","9,517.9","10,602",Unified                  ,672,562,290,0,290,51.60,130,0,130,23.13,125,22.24
Bellflower Unified,19,64303,"134,921,182","11,557.6","11,674",Unified                  ,930,344,257,0,257,74.71,163,0,163,47.38,153,44.48
Benicia Unified,48,70524,"45,151,119","4,578.2","9,862",Unified                  ,426,217,196,0,196,90.32,172,0,172,79.26,168,77.42
Berkeley Unified,1,61143,"144,637,240","9,345.8","15,476",Unified                  ,878,450,378,1,379,84.22,298,1,299,66.44,294,65.33
Beverly Hills Unified,19,64311,"65,551,729","3,773.7","17,371",Unified                  ,399,218,207,1,208,95.41,185,1,186,85.32,184,84.40
Bishop Unified,14,76687,"20,968,529","1,823.9","11,497",Unified                  ,154,53,42,0,42,79.25,29,0,29,54.72,27,50.94
Black Oak Mine Unified,9,73783,"10,609,128",992.7,"10,687",Unified                  ,100,30,28,0,28,93.33,22,0,22,73.33,21,70.00
Bonita Unified,19,64329,"102,533,880","9,733.3","10,534",Unified                  ,842,446,366,0,366,82.06,260,0,260,58.30,247,55.38
Bonsall Unified,37,76851,"23,927,811","2,264.1","10,568",Unified                  ,92,38,32,0,32,84.21,20,0,20,52.63,19,50.00
Borrego Springs Unified,37,67983,"6,119,134",379.7,"16,116",Unified                  ,268,26,17,0,17,65.38,7,0,7,26.92,7,26.92
Brawley Union High,13,63081,"22,271,328","1,757.0","12,676",High                     ,450,155,104,0,104,67.10,60,0,60,38.71,57,36.77
Brea-Olinda Unified,30,66449,"56,497,884","5,714.8","9,886",Unified                  ,480,204,189,1,190,93.14,159,1,160,78.43,156,76.47
Bret Harte Union High,5,61556,"10,510,411",621.9,"16,902",High                     ,163,63,57,0,57,90.48,47,0,47,74.60,45,71.43
Burbank Unified,19,64337,"156,850,436","14,574.2","10,762",Unified                  ,1361,669,587,0,587,87.74,485,0,485,72.50,466,69.66
Burton Elementary,54,71837,"47,919,869","4,757.4","10,073",Elementary               ,87,32,19,0,19,59.38,8,0,8,25.00,8,25.00
Cabrillo Unified,41,68890,"36,926,961","3,089.9","11,951",Unified                  ,274,115,89,1,90,78.26,77,1,78,67.83,74,64.35
Calaveras Unified,5,61564,"30,556,709","2,667.7","11,454",Unified                  ,230,86,71,0,71,82.56,60,0,60,69.77,57,66.28
Calexico Unified,13,63099,"103,545,070","8,763.2","11,816",Unified                  ,740,220,151,0,151,68.64,97,0,97,44.09,84,38.18
Calipatria Unified,13,63107,"14,695,227","1,118.9","13,134",Unified                  ,95,31,24,0,24,77.42,16,0,16,51.61,15,48.39
Calistoga Joint Unified,28,66241,"14,762,640",821.4,"17,972",Unified                  ,50,26,15,0,15,57.69,10,0,10,38.46,9,34.62
Campbell Union High,43,69401,"99,615,719","7,589.2","13,126",High                     ,1912,1033,935,1,936,90.61,772,1,773,74.83,756,73.18
Capistrano Unified,30,66464,"471,585,268","45,844.1","10,287",Unified                  ,4606,2156,2028,8,2036,94.43,1691,7,1698,78.76,1671,77.50
Carlsbad Unified,37,73551,"110,042,716","10,888.9","10,106",Unified                  ,950,483,451,2,453,93.79,380,2,382,79.09,377,78.05
Carmel Unified,27,65987,"53,157,863","2,362.1","22,504",Unified                  ,213,30,29,1,30,100.00,27,1,28,93.33,28,93.33
Carpinteria Unified,42,69146,"29,489,369","2,092.3","14,094",Unified                  ,173,63,48,0,48,76.19,37,0,37,58.73,35,55.56
Caruthers Unified,10,75598,"16,839,657","1,388.3","12,130",Unified                  ,138,54,28,0,28,51.85,15,0,15,27.78,14,25.93
Castro Valley Unified,1,61150,"92,677,106","8,951.2","10,354",Unified                  ,775,461,425,0,425,92.19,360,0,360,78.09,352,76.36
Center Joint Unified,34,73973,"47,920,959","4,066.0","11,786",Unified                  ,322,81,69,0,69,85.19,62,0,62,76.54,54,66.67
Centinela Valley Union High,19,64352,"84,386,542","5,964.6","14,148",High                     ,1866,810,443,0,443,54.69,207,0,207,25.56,193,23.83
Central Unified,10,73965,"161,722,109","15,004.6","10,778",Unified                  ,1036,395,269,0,269,68.10,151,0,151,38.23,144,36.46
Central Union High,13,63115,"46,981,609","3,979.2","11,807",High                     ,924,304,236,0,236,77.63,153,0,153,50.33,143,47.04
Ceres Unified,50,71043,"144,409,508","12,971.0","11,133",Unified                  ,1038,434,257,0,257,59.22,119,0,119,27.42,109,25.12
Chaffey Joint Union High,36,67652,"264,390,996","22,743.0","11,625",High                     ,6014,3244,2381,4,2385,73.52,1655,3,1658,51.11,1563,48.18
Charter Oak Unified,19,64378,"51,054,738","4,613.1","11,067",Unified                  ,443,229,171,1,172,75.11,127,0,127,55.46,122,53.28
Chawanakee Unified,20,75606,"7,402,827",626.2,"11,822",Unified                  ,120,33,22,0,22,66.67,8,0,8,24.24,8,24.24
Chico Unified,4,61424,"130,799,476","11,614.4","11,262",Unified                  ,1113,396,350,1,351,88.64,305,1,306,77.27,294,74.24
Chino Valley Unified,36,67678,"274,295,122","27,068.7","10,133",Unified                  ,2459,2324,1452,1,1453,62.52,930,1,931,40.06,875,37.65
Chowchilla Union High,20,65201,"11,966,815","1,012.4","11,820",High                     ,238,64,48,0,48,75.00,22,0,22,34.38,21,32.81
Chula Vista Elementary,37,68023,"264,265,365","22,631.3","11,677",Elementary               ,155,128,76,0,76,59.38,36,0,36,28.13,32,25.00
Claremont Unified,19,64394,"72,975,758","6,758.0","10,798",Unified                  ,665,403,353,3,356,88.34,285,3,288,71.46,282,69.98
Cloverdale Unified,49,70656,"16,975,853","1,348.0","12,593",Unified                  ,111,32,25,0,25,78.13,17,0,17,53.13,17,53.13
Clovis Unified,10,62117,"424,999,863","40,856.9","10,402",Unified                  ,3428,1696,1443,1,1444,85.14,1074,1,1075,63.38,1032,60.85
Coachella Valley Unified,33,73676,"241,945,479","17,263.3","14,015",Unified                  ,1316,483,221,0,221,45.76,92,0,92,19.05,82,16.98
Coalinga-Huron Unified,10,62125,"51,702,419","4,194.2","12,327",Unified                  ,299,59,38,0,38,64.41,20,0,20,33.90,16,27.12
Coast Unified,40,75465,"11,790,929",576.7,"20,446",Unified                  ,67,31,25,0,25,80.65,22,0,22,70.97,21,67.74
Colton Joint Unified,36,67686,"251,850,973","21,322.3","11,812",Unified                  ,1664,537,340,0,340,63.31,166,0,166,30.91,147,27.37
Colusa Unified,6,61598,"14,552,036","1,416.8","10,271",Unified                  ,109,42,29,0,29,69.05,24,0,24,57.14,22,52.38
Compton Unified,19,73437,"276,015,828","20,979.0","13,157",Unified                  ,1403,894,269,0,269,30.09,83,0,83,9.28,72,8.05
Conejo Valley Unified,56,73759,"183,305,848","18,101.7","10,126",Unified                  ,1838,992,945,0,945,95.26,827,0,827,83.37,817,82.36
Corcoran Joint Unified,16,63891,"36,369,862","3,139.1","11,586",Unified                  ,190,70,29,0,29,41.43,13,0,13,18.57,10,14.29
Corning Union High,52,71506,"11,492,215",919.1,"12,503",High                     ,235,68,44,0,44,64.71,23,0,23,33.82,22,32.35
Corona-Norco Unified,33,67033,"557,879,039","51,022.5","10,934",Unified                  ,4536,2344,1861,4,1865,79.56,1375,3,1378,58.79,1315,56.10
Coronado Unified,37,68031,"35,037,167","2,840.9","12,333",Unified                  ,312,213,203,0,203,95.31,176,0,176,82.63,173,81.22
Cotati-Rohnert Park Unified,49,73882,"63,609,131","5,506.8","11,551",Unified                  ,483,185,153,0,153,82.70,119,0,119,64.32,117,63.24
Covina-Valley Unified,19,64436,"138,207,734","11,388.8","12,135",Unified                  ,1185,1121,524,0,524,46.74,313,0,313,27.92,285,25.42
Culver City Unified,19,64444,"79,473,441","6,744.3","11,784",Unified                  ,520,292,259,0,259,88.70,162,0,162,55.48,160,54.79
Cutler-Orosi Joint Unified,54,71860,"46,621,835","3,985.3","11,699",Unified                  ,319,145,62,0,62,42.76,27,0,27,18.62,22,15.17
Davis Joint Unified,57,72678,"92,803,867","7,695.4","12,060",Unified                  ,723,504,471,2,473,93.85,445,2,447,88.69,440,87.30
Dehesa Elementary,37,68049,"3,812,067",133.8,"28,497",Elementary               ,293,31,29,0,29,93.55,13,0,13,41.94,13,41.94
Del Norte County Unified,8,61820,"40,373,281","3,366.5","11,993",Unified                  ,254,72,56,0,56,77.78,42,0,42,58.33,39,54.17
Delano Joint Union High,15,63412,"53,911,865","4,067.2","13,255",High                     ,1014,473,279,0,279,58.99,170,0,170,35.94,151,31.92
Delhi Unified,24,75366,"30,919,811","2,456.9","12,585",Unified                  ,188,95,57,0,57,60.00,18,0,18,18.95,16,16.84
Denair Unified,50,71068,"15,306,491","1,212.8","12,621",Unified                  ,161,24,15,1,16,66.67,8,1,9,37.50,8,33.33
Desert Sands Unified,33,67058,"310,219,104","24,791.1","12,513",Unified                  ,2234,967,698,0,698,72.18,378,0,378,39.09,366,37.85
Dinuba Unified,54,75531,"71,708,443","6,277.3","11,423",Unified                  ,502,143,86,0,86,60.14,36,0,36,25.17,35,24.48
Dixon Unified,48,70532,"33,029,113","3,061.0","10,790",Unified                  ,310,120,85,0,85,70.83,74,0,74,61.67,65,54.17
Dos Palos Oro Loma Joint Unified,24,75317,"26,654,580","2,262.9","11,779",Unified                  ,188,69,36,0,36,52.17,23,0,23,33.33,21,30.43
Downey Unified,19,64451,"255,027,469","21,096.4","12,089",Unified                  ,2036,1075,771,0,771,71.72,464,0,464,43.16,432,40.19
Duarte Unified,19,64469,"45,037,022","3,430.3","13,129",Unified                  ,309,108,68,0,68,62.96,45,0,45,41.67,40,37.04
Dublin Unified,1,75093,"107,678,950","11,044.6","9,749",Unified                  ,582,523,422,2,424,81.07,347,2,349,66.73,336,64.24
Durham Unified,4,61432,"10,113,069",968.4,"10,443",Unified                  ,61,36,30,0,30,83.33,15,0,15,41.67,13,36.11
East Nicolaus Joint Union High,51,71373,"3,391,998",296.8,"11,429",High                     ,76,35,24,0,24,68.57,20,0,20,57.14,17,48.57
East Side Union High,43,69427,"262,996,597","21,977.3","11,967",High                     ,6909,3420,2613,6,2619,76.58,2107,5,2112,61.75,2000,58.48
