DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark,District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
Chawanakee Unified,20,75606,"7,402,827",626.2,"11,822",Unified                  ,120,33,22,0,22,66.67,8,0,8,24.24,8,24.24,8.47,2,0,19.71,2.13,10.42,2.13,0,0,29.22,0,6.7,5,1,31.4,1.47,0
Chico Unified,4,61424,"130,799,476","11,614.40","11,262",Unified                  ,1113,396,350,1,351,88.64,305,1,306,77.27,294,74.24,49.5,3,13.9,367.66,17.89,299.28,58.4,0,0,238.62,0,71.97,36.55,13,196.37,44.67,4.26
Chino Valley Unified,36,67678,"274,295,122","27,068.70","10,133",Unified                  ,2459,2324,1452,1,1453,62.52,930,1,931,40.06,875,37.65,101.41,11,2.05,619.02,140.14,170.41,83.46,0,0,349.14,0,180.69,69.67,15,401.75,51.52,4.08
Chowchilla Union High,20,65201,"11,966,815","1,012.40","11,820",High                     ,238,64,48,0,48,75,22,0,22,34.38,21,32.81,4,1,0,0,0.8,8,0,0,0,29.75,0,5,2.9,3,50.35,2.95,0
Chula Vista Elementary,37,68023,"264,265,365","22,631.30","11,677",Elementary               ,155,128,76,0,76,59.38,36,0,36,28.13,32,25,83.5,17,8.82,0,231.54,387.6,211.49,0,0,337.7,0,154.5,75.88,0,39.5,142.21,0
Claremont Unified,19,64394,"72,975,758","6,758.00","10,798",Unified                  ,665,403,353,3,356,88.34,285,3,288,71.46,282,69.98,29.13,6.38,2,159.87,15.54,85.17,23.83,0,0,108,0,30.02,15.8,6,97.48,23.7,1.34
Cloverdale Unified,49,70656,"16,975,853","1,348.00","12,593",Unified                  ,111,32,25,0,25,78.13,17,0,17,53.13,17,53.13,6.5,1,1,41.88,7.5,18.67,6,0,0,26.98,0,6.44,5,1.6,22.4,2.8,0
Clovis Unified,10,62117,"424,999,863","40,856.90","10,402",Unified                  ,3428,1696,1443,1,1444,85.14,1074,1,1075,63.38,1032,60.85,111.07,32.62,13.23,972.77,213.96,523.3,146.31,0,0,920.29,0,206.13,180.55,25.62,584.24,166.07,1.02
Coachella Valley Unified,33,73676,"241,945,479","17,263.30","14,015",Unified                  ,1316,483,221,0,221,45.76,92,0,92,19.05,82,16.98,49,7,7,510.48,27.91,243,73.95,1,0,281.5,0,93,50.8,15,226.42,36.2,1.27
Coalinga-Huron Unified,10,62125,"51,702,419","4,194.20","12,327",Unified                  ,299,59,38,0,38,64.41,20,0,20,33.9,16,27.12,7,2,6,109.89,27.2,40.02,17.87,0,0,121.25,0,15.59,12.56,5.66,57.58,7.8,3.38
Coast Unified,40,75465,"11,790,929",576.7,"20,446",Unified                  ,67,31,25,0,25,80.65,22,0,22,70.97,21,67.74,8.5,1,0,20.45,1.2,11.97,2,0,0,25.94,0,6.19,3.25,1,16.2,2.8,0
Colton Joint Unified,36,67686,"251,850,973","21,322.30","11,812",Unified                  ,1664,537,340,0,340,63.31,166,0,166,30.91,147,27.37,76.69,7,12,584.36,116.07,231.25,82.15,1,0,459.75,0,140.63,66,19,319.01,37.8,4.69
Colusa Unified,6,61598,"14,552,036","1,416.80","10,271",Unified                  ,109,42,29,0,29,69.05,24,0,24,57.14,22,52.38,3,0,0,42.51,2.7,16.46,7.09,0,0,23.23,0,10,5,1,21.66,0.3,0
Compton Unified,19,73437,"276,015,828","20,979.00","13,157",Unified                  ,1403,894,269,0,269,30.09,83,0,83,9.28,72,8.05,153,2,11.5,574.61,81.09,291.5,84.25,0,0,555.25,0,133.6,111.75,17.5,220.65,113.49,55.87
Conejo Valley Unified,56,73759,"183,305,848","18,101.70","10,126",Unified                  ,1838,992,945,0,945,95.26,827,0,827,83.37,817,82.36,72.22,4,9,441.88,41.42,133.33,65.56,0,0,209.33,0,107.34,50,16,290.55,45.9,0
Corcoran Joint Unified,16,63891,"36,369,862","3,139.10","11,586",Unified                  ,190,70,29,0,29,41.43,13,0,13,18.57,10,14.29,3,4,1,91.81,21.14,22.48,13.25,0,0,15.63,0,20.75,12,2,40.76,2,0
Corning Union High,52,71506,"11,492,215",919.1,"12,503",High                     ,235,68,44,0,44,64.71,23,0,23,33.82,22,32.35,6.8,0,0,0,0,15.05,0,0,0,18.1,0,4.48,10.65,4.32,43.33,0.2,5.72
Corona-Norco Unified,33,67033,"557,879,039","51,022.50","10,934",Unified                  ,4536,2344,1861,4,1865,79.56,1375,3,1378,58.79,1315,56.1,97.32,12,9,0,82.44,537.48,175.5,0,0,656.55,0,234.6,117,46,711.6,145,8.35
Coronado Unified,37,68031,"35,037,167","2,840.90","12,333",Unified                  ,312,213,203,0,203,95.31,176,0,176,82.63,173,81.22,10,1,1,63.6,5.3,41.72,7.5,0,0,40.47,0,15.96,9,3.1,54.5,8,0.5
Cotati-Rohnert Park Unified,49,73882,"63,609,131","5,506.80","11,551",Unified                  ,483,185,153,0,153,82.7,119,0,119,64.32,117,63.24,20,2,3,154.94,22.89,63.78,25.17,0,0,57.86,0,31.57,21.27,4.95,99.76,15.2,7.5
Covina-Valley Unified,19,64436,"138,207,734","11,388.80","12,135",Unified                  ,1185,1121,524,0,524,46.74,313,0,313,27.92,285,25.42,41,5,3,267.74,33.6,116.78,50.97,0,0,197.18,0,69.59,29.8,9.5,182.3,25.5,6.1
Culver City Unified,19,64444,"79,473,441","6,744.30","11,784",Unified                  ,520,292,259,0,259,88.7,162,0,162,55.48,160,54.79,20.75,5.5,5.6,173.22,21.25,166.27,28,0,0,50.32,0,33.38,12.9,9.4,94.89,29.8,0
Cutler-Orosi Joint Unified,54,71860,"46,621,835","3,985.30","11,699",Unified                  ,319,145,62,0,62,42.76,27,0,27,18.62,22,15.17,22.93,3,5,112.04,28.08,100.75,19,0,0,75.99,0,16.5,14.97,2.99,55.8,3,0
Davis Joint Unified,57,72678,"92,803,867","7,695.40","12,060",Unified                  ,723,504,471,2,473,93.85,445,2,447,88.69,440,87.3,38.15,4,8.7,217.29,69.53,170.2,27.89,0,0,123.96,0,41.11,19.19,8.3,135.85,25.75,0
Dehesa Elementary,37,68049,"3,812,067",133.8,"28,497",Elementary               ,293,31,29,0,29,93.55,13,0,13,41.94,13,41.94,0,0,0,145.49,107.25,83.46,27.88,0,0,28.91,0,114.52,22.34,0,139.35,70.24,17.19
Del Norte County Unified,8,61820,"40,373,281","3,366.50","11,993",Unified                  ,254,72,56,0,56,77.78,42,0,42,58.33,39,54.17,23.29,1.7,5,100.36,15.38,77.11,14.83,0,0,106.94,0,22.93,13,2,45.4,10.6,0
Delano Joint Union High,15,63412,"53,911,865","4,067.20","13,255",High                     ,1014,473,279,0,279,58.99,170,0,170,35.94,151,31.92,16,3,0,0,5.59,43.38,0,0,0,59,0,42.5,11,12,184.92,5,3.17
Delhi Unified,24,75366,"30,919,811","2,456.90","12,585",Unified                  ,188,95,57,0,57,60,18,0,18,18.95,16,16.84,16.38,1,1.6,69.9,10.37,20.52,11.5,0,0,57.04,0,25.73,9,2.3,36.1,2,1
