District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Name,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
6.62,2,0,49.49,6.17,36.28,9.33,0,0,Cascade Union Elementary,40.41,0,8,4,0,0,3,0
0,0,0,3.3,0,6.85,0.5,0,0,Castle Rock Union Elementary,4,0,2,0.4,0,0,0,0
6,1,1,54.68,2.17,29.38,6.18,0,0,Columbia Elementary,27.88,0,5.81,5.67,0,0,3.4,0
3,1,1,45.62,1,22.17,7.33,0,0,Cottonwood Union Elementary,19.25,0,5.98,3.5,0,0,1.7,0
14,3,0,128.76,17.87,149,20.48,0,0,Enterprise Elementary,66,0,39,14.5,0,0.5,8.8,0
8,0.55,0,36.16,4.5,22.53,6.14,0,0,Fall River Joint Unified,37.13,0,9.25,6.34,1,22.75,2,0
0,0,0,2.16,0.2,1.45,0.24,0,0,French Gulch-Whiskeytown Elementary,0.44,0,1,0.1,0,0,0,0
0,0.3,0,1,0,0,0,0,0,Grant Elementary,0.21,0,0,0,0,0,0,0
1,0,0,18.25,0,8.23,4.75,0,0,Happy Valley Union Elementary,11.75,0,3.94,2,0,0,0,0
0,0,0,1.75,0,3.04,0.25,0,0,"Igo, Ono, Platina Union Elementary",1.94,0,1,0,0,0,0,0
0,0,0,1.67,0,0.83,0.33,0,0,Indian Springs Elementary,1.67,0,0.83,0.4,0,0,0,0
0,0,0,2.6,0.8,2.8,0.6,0,0,Junction Elementary,4,0,1.8,0,0,0,0,0
0,0,0,9.47,0.72,10,1.73,0,0,Millville Elementary,3.75,0,2.88,1,0,0,0.45,0.07
0,0,0,9.4,1,2.91,2,0,0,North Cow Creek Elementary,4.44,0,2,0,0,0,0,0
0,0.7,0,2.12,0,1.29,1.13,0,0,Oak Run Elementary,1.49,0,1.21,0,0,0,0.5,0
1,1,0.2,24.83,0,13.07,4,0,0,Pacheco Union Elementary,15.27,0,3.31,2,0,0,1,0
12.06,2,2,116.05,12,57.67,20.25,0,0,Redding Elementary,80.02,0,21.93,11.6,0,4.87,23.4,0
3,0,0,24.2,4,9.3,3,0,0,Shasta Union Elementary,12,0,3.75,2,0,0,0,0
22.13,4,0,22.82,1,45.16,0,0,0,Shasta Union High,86.45,0,45.38,17.6,16.9,228.84,9.6,0
0,0,0,10.01,2.33,1.95,1.05,0,0,Whitmore Union Elementary,4.96,0,4,5.39,0,27.88,3.9,0
0,0.3,0,3.33,0.4,2.88,0.67,0,0,Mountain Union Elementary,4,0,2,0.3,0,0,0,0
14,2,2.6,69.85,13.8,68.39,10.95,0,0,Gateway Unified,78.42,0,20.19,10.4,2.95,37.93,9.1,3.25
1.59,0,0,10.76,1,16.09,0.83,0,0,Sierra-Plumas Joint Unified,11.43,0,2.68,1,0,9.25,1,0
0,0,0,7,1,0,1,0,0,Big Springs Union Elementary,19.53,0,1.86,1,0,0,0,0
0,0,0,0.83,0,0.72,0.17,0,0,Bogus Elementary,1.22,0,0,0,0,0,0,0
0,0.3,0,9,0,5.22,1,0,0,Butteville Union Elementary,4.82,0,3,0.7,0,0,0,0
0,0,0,2.67,0,4.5,0.33,0,0,Delphic Elementary,0,0,1,1,0,0,0,0
0,0.5,0,3.33,0,4.3,0.67,0,0,Dunsmuir Elementary,4.57,0,1.75,0.5,0,0,0,0
0,0.4,0,0,0.5,0,0,0,0,Dunsmuir Joint Union High,2.5,0,2.5,0.5,0.75,7.45,0,0
0,0,0,0.86,0,0.75,0.14,0,0,Forks of Salmon Elementary,1.25,0,1,0,0,0,0,0
0,0,0,1.64,0,1.5,0.16,0,0,Gazelle Union Elementary,2,0,1,0.2,0,0,0,0
0,0.3,1,8.36,0,7.6,2,0,0,Grenada Elementary,3.69,0,2,0.7,0,0,0,0
0,0.5,0,4,0.5,1,1,0,0,Happy Camp Union Elementary,2,0,2,0.5,0,0,0,0
0,1,0.28,3.67,0,1.74,0.33,0,0,Hornbrook Elementary,3.05,0,1,0,0,0,0,0
0,0.15,0,0.88,0,0.73,0.13,0,0,Klamath River Union Elementary,1,0,0.5,0,0,0,0,0
0,0,0,0.86,0,0.4,0.14,0,0,Little Shasta Elementary,1.8,0,0,0,0,0,0,0
0,0,0,3.09,0,3.42,0.33,0,0,McCloud Union Elementary,2.7,0,0,0.58,0,0,0,0
0,0,0,8,1,5,1,0,0,Montague Elementary,5,0,1,0,0,0,0,0
3,0,0,24.2,4,9.3,3,0,0,Mt. Shasta Union Elementary,12,0,3.75,2,0,0,0,0
0,0,0,0.88,0,0,0.13,0,0,Seiad Elementary,0,0,1,0,0,0,0,0
3.5,0.7,0,0,0,2.26,0,0,0,Siskiyou Union High,11.94,0,6,3.15,2.32,39.16,0,0
0,0,0,14.1,0,6.56,2,0,0,Weed Union Elementary,10.87,0,3,1,0,0,0,0.5
0,0.87,0,5.95,0,1.76,0,0,0,Willow Creek Elementary,0.93,0,0.2,0.24,0,0,0,0
2,1,0,46,1,26.88,7,0,0,Yreka Union Elementary,14.72,0,4.15,3,0,0,0,0.5
3,0.95,0,0,1,2.31,0,0,0,Yreka Union High,8.5,0,4.94,0.85,2,34.44,1.94,0
2,0,0.29,8.5,0.86,8,0,0,0,Butte Valley Unified,10.08,0,3,1,0.58,5.61,0,0.14
4.44,0.9,0.3,18.71,0,10.84,4.05,0,0,Scott Valley Unified,29.71,0,5.63,4.06,0.7,13.58,0,0
14.5,1.5,2,105.17,4.5,38.81,12.33,0,0,Benicia Unified,68.05,0,24.2,11.6,5.5,68.2,12.5,0
15.25,2,1,84.05,4.5,37.53,12.43,0,0,Dixon Unified,52.39,0,19.14,11.6,2.9,57.07,7.2,1.69
87,7,5,523.65,130.19,203.56,80.67,1,0,Fairfield-Suisun Unified,442.71,0,109.96,51.7,13.7,274,56.36,7
7,3,1,128.82,10.18,68.42,22,0,0,Travis Unified,103.56,0,22.26,12.9,5,82,17.8,1.92
53,4,4.4,320.94,18.8,120.14,47.19,0,0,Vacaville Unified,203.26,0,83.34,38.45,9,200.28,33.8,0
47.75,9,0,347.62,68.78,221.86,54.61,0,0,Vallejo City Unified,295.53,0,79.5,45,11,163.7,19.91,2.33
0,0,0,0,0,0,0,0,0,Petaluma City Elementary/Joint Union High,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,Santa Rosa City Schools,0,0,0,0,0,0,0,0
0,0.45,0,6,0,4.65,1,0,0,Alexander Valley Union Elementary,2.38,0,1.75,0.55,0,0,0.14,0
0,1,0,4.5,2,17,0,0,0,West Sonoma County Union High,39,0,16,7,6.6,88.51,11.43,0
0,0,0,0,0,0,0,0,0,Bellevue Union Elementary,0,0,0,0,0,0,0,0
4,1,0,35.7,6,16,8.3,0,0,Bennett Valley Union Elementary,20,0,2,2,0,0,2.4,0
0.72,0,0,10.95,0,11.28,2,0,0,Cinnabar Elementary,3.69,0,3.5,0,0,0,1.36,0
6.5,1,1,41.88,7.5,18.67,6,0,0,Cloverdale Unified,26.98,0,6.44,5,1.6,22.4,2.8,0
1.4,1,0,6,0.61,3.93,2,0,0,Dunham Elementary,0,0,1,0,0,0,0.61,0
2,1,0,11,3,4.97,2,0,0,Forestville Union Elementary,10.82,0,0,1,0,0,0,0
0,0.3,0,2.15,0,1.28,0.25,0,0,Fort Ross Elementary,0.4,0,0.6,0.2,0,0,0,0
1,0,0,8.66,0,3.39,1,0,0,Geyserville Unified,8.73,0,1.75,1.1,0,8.44,0,0
2,0,0,37.4,3,9.14,5,0,0,Gravenstein Union Elementary,3.83,0,2.25,2,0,0,0,0
0,1,0,12.72,2.2,4.12,1.5,0,0,Guerneville Elementary,5.44,0,2.38,0.6,0,0.58,0,0
3,0,1,15.59,0,3.41,2.1,0,0,Harmony Union Elementary,19.76,0,0,5.5,0,16.69,1.4,0
0,0,0,3.7,0,4,0.5,0,0,Horicon Elementary,4.75,0,2,1,0,0,0,0
0,0,0,0,0,0,0,0,0,Kenwood Elementary,0,0,0,0,0,0,0,0
0,0.1,0,4,0,3,0,0,0,Liberty Elementary,0,0,0,0,0,0,0,0
8.3,1,0,53.15,2.6,16.57,11.35,0,0,Mark West Union Elementary,13.53,0,6.6,4,0,0,1.6,0
0,0.3,0.4,4,0.51,2.89,1,0,0,Monte Rio Union Elementary,3.01,0,2,0.7,0,0,0,0
0,0.2,0,2.67,0,0.75,0.33,0,0,Montgomery Elementary,0,0,0,0,0,0,0,0
4.63,1,1.2,35.74,2.5,14.3,4.07,0,0,Oak Grove Union Elementary,15.06,0,9.25,5.7,0,18.05,4.05,17.57
0,0,0,0,0,0,0,0,0,Old Adobe Union Elementary,0,0,0,0,0,0,0,0
4,0,0.45,43.69,4,21.59,8,0,0,Piner-Olivet Union Elementary,22.79,0,5,2.6,0.4,3.01,3,0
0,0.95,0,0.83,0,0,0.17,0,0,Kashia Elementary,0,0,0,0.05,0,0,0,0
12,4,5,133.92,3,86.54,27.83,0,0,Rincon Valley Union Elementary,75.66,0,15.76,14.35,0,0,35.9,0
0,0,0,0,0,0,0,0,0,Roseland Elementary,0,0,0,0,0,0,0,0
1,1,0.6,36.86,3,16.21,6.06,0,0,Sebastopol Union Elementary,4.38,0,8.74,4,0,0,2,0
12.72,3,4.8,127.32,10.57,95.29,18.08,0,0,Sonoma Valley Unified,105.75,0,34.22,16.4,4.95,72.81,23.59,0.87
5,1,0,44.2,0.5,18.93,7.3,0,0,Twin Hills Union Elementary,12.16,0,7.22,4.8,0,5.9,0.6,0
0,0,0,0,0,0,0,0,0,Two Rock Union Elementary,0,0,0,0,0,0,0,0
2.94,1,0,31.3,2,14.83,6.6,0,0,Waugh Elementary,6.28,0,2.93,1,0,0,0,0
0,0,0,5,0,4.2,2,0,0,West Side Union Elementary,2.85,0,1.82,1,0,0,0,0
0,0.3,0,8,1,4.55,2.4,0,0,Wilmar Union Elementary,2.32,0,2.25,0.7,0,0,0.3,0
7,1,3.25,54.02,2.02,31.62,11.41,0,0,Wright Elementary,21.03,0,8.32,4.75,0,0,18.01,0
20,2,3,154.94,22.89,63.78,25.17,0,0,Cotati-Rohnert Park Unified,57.86,0,31.57,21.27,4.95,99.76,15.2,7.5
0,0,0,0,0,0,0,0,0,Windsor Unified,0,0,0,0,0,0,0,0
9.5,1,1,44.31,7.25,16.5,5.5,0,0,Healdsburg Unified,39,0,13.89,5.8,2,33.17,3,0
0,0,0,0,0,0,0,0,0,Modesto City Schools,0,0,0,0,0,0,0,0
59.94,8,8.4,373.18,33.5,212.04,62.56,0,0,Ceres Unified,367.7,0,122.44,42.93,15.05,185.89,70.53,1.67
0,0,0,0,0,0,0,0,0,Chatom Union Elementary,0,0,0,0,0,0,0,0
5.63,1,0.8,20.71,1,22.42,5,0,0,Denair Unified,28.4,0,11,4,1,15.68,6.83,0
12.6,3,0,105.34,3,67.96,17.67,0,0,Empire Union Elementary,58.57,0,14.88,8,0,0,5.7,0
1,1,0,7,2,0,1,0,0,Gratton Elementary,0.25,0,1,0,0,0,0,0
0,1,1,45.34,0,6.35,6.86,0,0,Hart-Ransom Union Elementary,11.55,0,6.5,3.5,0,0.9,0,1
4.44,0,0,41.85,3.8,12.72,4.95,0,0,Hickman Community Charter,10.62,0,4.66,3,0,0,1,0
0,0,0,0,0,0,0,0,0,Keyes Union Elementary,0,0,0,0,0,0,0,0
0,0,0,5,0,3.5,1,0,0,Knights Ferry Elementary,0,0,1,1,0,0,0,0
1,0.5,0,8,1.6,1,1,0,0,Paradise Elementary,2,0,1,0.5,0,0,0,0
17,3,2,160.65,16,79.13,20.45,0,0,Patterson Joint Unified,89.34,0,29.38,15.95,5.75,89.21,16,1
1,1,0,7,0.8,4,1,0,0,Roberts Ferry Union Elementary,3,0,2,1,0,0,0,0
11.14,1,0,117.92,12.57,43.27,19.11,0,0,Salida Union Elementary,100.67,0,13.65,8,0,0,4.7,0
1,1,0,7,0,4.25,1,0,0,Shiloh Elementary,3,0,1,0,0,0,0,0
4.75,2,1,120.05,21.95,28.54,21,0,0,Stanislaus Union Elementary,56.07,0,12.27,8,0,0,7.4,0
18,3,8.4,294.09,55.33,126.34,35.22,0,0,Sylvan Union Elementary,119.92,0,39.46,20.5,0,0,21.7,8.5
0,0,0,8,0,1.97,1,0,0,Valley Home Joint Elementary,2.66,0,2,1,0,0,0.5,0
11.56,2,3,83.67,9,45.6,12,0,0,Newman-Crows Landing Unified,77.31,0,18.62,11,3,41.74,7,0
4,2,0.6,47.14,5.67,21.61,6.9,0,0,Hughson Unified,38.68,0,13.76,8.89,1.4,35.38,3.77,0
10,1,1.55,81.75,16.1,43.97,14.25,0,0,Riverbank Unified,49.09,0,25.87,9.5,3.13,39.5,6.1,0
18.25,2,1,126.17,6,55.84,20.25,0,0,Oakdale Joint Unified,105.17,0,23.63,15.75,3.9,76.79,10.9,0
6,2,0.8,68.95,7.21,38.5,8.73,0,0,Waterford Unified,61.71,0,23.47,7.6,1.2,98.81,16.19,1
43.5,6,4,336.33,41.21,193.9,55.56,0,0,Turlock Unified,235.92,0,82.06,38.49,11.98,216.2,30.7,0.82
0,0,0,17,0,7.92,3,0,0,Brittan Elementary,6.22,0,3.4,2,0,0,1,0
0,0,0,8,0,5.6,1,0,0,Browns Elementary,1,0,2,1.4,0,0,0.6,0
0,0.5,0,0,0.5,0.25,0,0,0,East Nicolaus Joint Union High,5.25,0,4,1.5,0,15.3,0,0
0,0.5,0,18,1,3.58,2,0,0,Franklin Elementary,9.14,0,2,0.5,0,0,0,0
5,1,0,51.49,4,30.02,8.2,0,0,Live Oak Unified,44.57,0,12.47,7,1,29.52,2,0
0,0,0,19.92,8.29,5.3,3.42,0,0,Marcum-Illinois Union Elementary,5.95,0,20.14,11.96,0,73.19,0,0
0,0,0,24.32,2.56,1.62,2.86,0,0,Meridian Elementary,4.02,0,10.97,5.65,0,16.18,5.27,0
0,1,0,11.97,0,1.62,1.53,0,0,Nuestro Elementary,3.48,0,4.81,1,0,8.59,1,0
0,0,0,0,0,0,0,0,0,Pleasant Grove Joint Union Elementary,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,Sutter Union High,17,0,8.5,1.4,2,34.47,0.8,0
0,0,0,0,0,0,0,0,0,Winship-Robbins Elementary,0,0,0,0,0,0,0,0
29,5.6,20,366.69,27.44,100.97,49.46,0,0,Yuba City Unified,285.28,0,87.19,41.09,16.4,201.75,43.76,55.58
4,0.8,0,31.87,5.6,15.8,4.5,0,0,Antelope Elementary,15.44,0,5.62,3.1,0,0,0,0
14,2,0,80.84,2.28,39.55,11.08,0,0,Corning Union Elementary,34.83,0,14,7,0,0,15.5,0
6.8,0,0,0,0,15.05,0,0,0,Corning Union High,18.1,0,4.48,10.65,4.32,43.33,0.2,5.72
0,0,0,0.89,0,1,0.11,0,0,Elkins Elementary,1.05,0,1,0.2,0,0,0,0
0,0,0,0,0,0,0,0,0,Evergreen Union Elementary,0,0,0,0,0,0,0,0
0,0,0,0.7,0,1.5,0.1,0,0,Flournoy Union Elementary,0.5,0,1,0.2,0,0,0,0
0,1,1,15,5,3.81,3,0,0,Gerber Union Elementary,8.05,0,2.87,0.5,0,0,1.5,0
0,0.2,0,4.5,0,4.75,0.5,0,0,Kirkwood Elementary,1,0,2,0,0,0,0,0
0,1,0,11.43,2,8.08,2.02,0,0,Lassen View Union Elementary,5.81,0,2.69,0,0,0,0.2,0
3,0,0,17.6,1.5,14.93,2.7,0,0,Los Molinos Unified,15.53,0,6,2.1,0.99,11.3,2,0
7.75,1,4,72.42,7.5,37.18,12.58,0,0,Red Bluff Union Elementary,39.12,0,11.25,4,0,0,6,0
9,1,0,0,0.5,16.45,0,0,0,Red Bluff Joint Union High,47.29,0,13.58,6.41,5.99,80.49,1.95,0
0,0.2,0.2,5.6,0.2,1.65,0.7,0,0,Reeds Creek Elementary,2.78,0,2,1,0,0,0,0
0,0,0,8,0.9,5.58,2,0,0,Richfield Elementary,4.11,0,2.67,1,0,0,1.4,0
0,0,0,4,3,6,1,0,0,Burnt Ranch Elementary,2,0,2.5,1,0,0,0.6,0
0,0,0,0.8,0,1.13,0.2,0,0,Coffee Creek Elementary,0.25,0,0.5,0.1,0,0,0,0
0,0,0,7.87,0,7.96,1,0,0,Douglas City Elementary,4.35,0,1,1,0,0,0.16,0
0,0,0,2.6,0.8,2.8,0.6,0,0,Junction City Elementary,4,0,1.8,0,0,0,0,0
0,0.55,0,2.5,0,6,0.5,0,0,Lewiston Elementary,1.94,0,1,0,0,0,0,0
0,0.05,0,0.83,0,0.38,0.17,0,0,Trinity Center Elementary,0.69,0,1,0.05,0,0,0,0
1,0.8,0,5.96,0,4.64,0.64,0,0,Southern Trinity Joint Unified,9.94,0,1.75,0.2,0,3.8,1,0
3,0.5,0.2,9.15,0,7.66,1,0,0,Mountain Valley Unified,13,0,2.82,1.3,0,7.63,0,0
3,1,0.25,18.71,3.28,19.75,1.25,0,0,Trinity Alps Unified,17,0,6,1.9,0.5,20.05,0,0
0,0,0,3.72,0.33,0,0.96,0,0,Allensworth Elementary,3.62,0,1,1,0,0,0,0
2.58,1,0,16.26,2.2,6.21,2.24,0,0,Alpaugh Unified,12.51,0,2.28,1.64,0,13.67,2,0
0,1,0,22.92,1,10,3.08,0,0,Alta Vista Elementary,10.5,0,6.5,1,0,0,0,0
0,1,0,8,0,5.5,3,0,0,Buena Vista Elementary,4.2,0,2,0,0,0,0,0
17.32,2,1,157.14,10.5,67.67,24.02,0,0,Burton Elementary,65.08,0,15.83,17.62,0,21.75,14,0
0,0,0,8,0,1.93,1.6,0,0,Columbine Elementary,2.57,0,1.5,1,0,0,0,0
22.93,3,5,112.04,28.08,100.75,19,0,0,Cutler-Orosi Joint Unified,75.99,0,16.5,14.97,2.99,55.8,3,0
0,0,0,8,1,0.75,1,0,0,Ducor Union Elementary,2.7,0,2,1,0,0,0,0
4,2,3,76.95,11.75,7,11,0,0,Earlimart Elementary,34,0,9,5.3,0,0,0,0
0,0.5,0,0.88,0.15,1.1,0.13,0,0,Hot Springs Elementary,0.2,0,0.2,0,0,0,0,0
0,0,0,17,2.8,4.5,3,0,0,Kings River Union Elementary,8,0,3,2,0,0,0.5,0
38.87,6,2,96.37,26.63,42.27,14.33,0,0,Lindsay Unified,103.62,0,25.42,19.9,2.95,58.1,14.95,3.73
0,0,0,17.68,0,8,3.33,0,0,Monson-Sultana Joint Union Elementary,9.07,0,2.88,2,0,0,0,0
0,1,0,24,0,13.28,4,0,0,Oak Valley Union Elementary,10.01,0,2.44,1,0,0,0,0
0,0,0,4.4,0,2.75,0.5,0,0,Outside Creek Elementary,1.5,0,1,0.05,0,0,0.05,0
0,0,0,17,0,13.5,4,0,0,Palo Verde Union Elementary,10,0,2.75,2,0,0,1,0
4,1,3,42.5,2,23.23,7,0,0,Pixley Union Elementary,28.28,0,11.16,3,0,0,5,0
0,1,0,18,1.13,12,3,0,0,Pleasant View Elementary,11,0,1.5,0.9,0,0,0,0
0,1,2,26,1,5,4,0,0,Richgrove Elementary,14.25,0,9.75,0,0,0,6,0
0,0,0,15.6,0,0,2,0,0,Rockford Elementary,12.29,0,2,1,0,0,0,0
0,0,0,4,0.1,1,0.9,0,0,Saucelito Elementary,1,0,1,0,0,0,0,0
2.5,0,0,16,0,10,2,0,0,Sequoia Union Elementary,19.5,0,5,0,0,0,0,0
0,0,0,13,0,4.88,2,0,0,Springville Union Elementary,6.71,0,2,1,0,0,1.4,0
0,1,0,6.01,6.79,11,1.5,0,0,Stone Corral Elementary,1.15,0,14.5,1.95,0,21.82,0.6,1.84
0,2,0,29,1,18.72,5,0,0,Strathmore Union Elementary,14.92,0,4.38,2,0,0,0,0
0,1,1,27,0,6,5,0,0,Sundale Union Elementary,7,0,3,2,0,0,0,2
0,1,0,15.9,0,5.16,1.5,0,0,Sunnyside Union Elementary,12.68,0,4.16,1,0,0,0,0
0,2,0,34.5,1.33,12.91,7.67,0,0,Terra Bella Union Elementary,22.89,0,3,2.5,0,0,3,0
0,0,0,7.85,0,1.8,1,0,0,Three Rivers Union Elementary,2.67,0,2.05,0.5,0,0,0,0
0,0,0,23,0,6.5,4,0,0,Tipton Elementary,16.02,0,3.63,2,0,0,0,0
0,1,0,7.97,0,4.88,1.5,0,0,Traver Joint Elementary,4.79,0,2.5,1,0,0,0,0
0,0,0,0,0,0,0,0,0,Tulare City Elementary,0,0,0,0,0,0,0,0
19,3,0,0,5,21,0,0,0,Tulare Joint Union High,89,0,53.5,16.69,21.63,249.73,2.1,1
94.38,8.25,0,633.1,165.32,377.01,90.58,0,0,Visalia Unified,564.72,0,139.21,67.15,14.6,403.91,87.42,18.6
0,1,0,9,0,4.13,1,0,0,Waukena Joint Union Elementary,4.69,0,4,1,0,0,2,0
0,0,0,17.83,2,8.68,3.17,0,0,Woodville Union Elementary,9.96,0,4,0,0,0,0,0
9,2,3.5,60.71,10.45,16.19,9,0,0,Farmersville Unified,67.39,0,12.5,12.71,3.5,34.1,4,0
40.63,5,3,271.19,60.54,80.64,39.75,0,0,Porterville Unified,321.54,0,86.33,44.17,19.36,278.78,13.52,0.33
22.5,2.5,0,139.61,14.81,66.77,25,0,0,Dinuba Unified,105.25,0,31.56,23,4,89.53,7,22.09
12.75,0,0,54.03,0,26.25,8,0,0,Woodlake Unified,72.75,0,12.75,7.9,2,32.25,0,5.74
8.75,4,1,62.6,11.5,24.02,10,0,0,Exeter Unified,65.94,0,15.29,12.7,1.8,41.71,2.45,0
0,0.5,0,7.5,0.5,3.54,1,0,0,Belleview Elementary,3.58,0,1.76,0.5,0,0,0,0
0,0,0,0,0,0,0,0,0,Columbia Union Elementary,0,0,0,0,0,0,0,0
0,1,0,17.8,1.2,5.91,2,0,0,Curtis Creek Elementary,13.72,0,4.46,0.5,0,0,0,0
1,1,0,12.88,0,9.61,2.63,0,0,Jamestown Elementary,11.39,0,1.75,1,0,0,0,0
0,0.5,1,31.55,1,5.41,4.25,0,0,Sonora Elementary,11.36,0,5.92,2,0,0,0,0
2.75,1,0,0,0,5.42,0,0,0,Sonora Union High,36.51,0,9,3,4,44.29,1,0
0,1,0,20,1,9.51,4,0,0,Soulsbyville Elementary,4.43,0,5,0,0,0,0,0
0,0.5,0,16.3,1,12.1,3.2,0,0,Summerville Elementary,8.7,0,2.63,1,0,0,0,0
5,0,0,12.06,0.2,6.73,1.78,0,0,Summerville Union High,21.33,0,9.5,5.28,0,38.33,1,0
0,0,0,0,0,0,0,0,0,Twain Harte Elementary,0,0,0,0,0,0,0,0
4,0.66,0,11.46,0.15,6.05,1,0,0,Big Oak Flat-Groveland Unified,9.95,0,4,2.4,0.35,8.95,1.3,0.2
1,1,0,23,3.25,1.5,3,0,0,Briggs Elementary,16.72,0,2.73,2,0,0,0,0
13.88,7,2,97.33,15.42,35.97,14.67,0,0,Fillmore Unified,87.58,0,14.39,11,3,49.83,16.2,3.42
30.94,3,14,296.38,18.37,69.49,44.96,0,0,Hueneme Elementary,123.84,0,39.28,25.7,0,0,47.79,0
0,1,0,28.21,1.5,4.34,4.73,0,0,Mesa Union Elementary,11.73,0,5.16,4,0,16.35,3.1,0
0,0,0,6.71,0.5,2.11,1,0,0,Mupu Elementary,0.89,0,0.88,1,0,0,0,0
12.44,1,0,60.11,9.59,49.17,8.45,0,0,Ojai Unified,42.72,0,13.95,10.1,2,37.9,9.32,0.1
0,0,0,0,0,0,0,0,0,Oxnard Elementary,0,0,0,0,0,0,0,0
33.63,5.6,0,19.19,16.5,94.25,3,0,0,Oxnard Union High,229.89,0,100.18,35,39,646.16,30.4,14.99
26.31,6,3.6,270.68,20.1,67.64,41.37,0,0,Pleasant Valley,97.92,0,37.08,20,0,0,22.11,11.3
0,0.3,0.4,4,0.51,2.89,1,0,0,Rio Elementary,3.01,0,2,0.7,0,0,0,0
0,0,0,2.25,0,1.15,0.25,0,0,Santa Clara Elementary,0.25,0,0.88,1,0,0,0,0
49.04,5,8,379.69,12.5,252.55,58.58,0,0,Simi Valley Unified,224.05,0,165.43,44,11.85,245.35,90.4,0
0,0,0,0,0,0,0,0,0,Somis Union Elementary,0,0,0,0,0,0,0,0
49.13,6,18.02,402.92,63.82,172.83,58.89,0,0,Ventura Unified,308.53,0,94.24,42,22.2,227.64,55.28,2
72.22,4,9,441.88,41.42,133.33,65.56,0,0,Conejo Valley Unified,209.33,0,107.34,50,16,290.55,45.9,0
11,2,3.5,98.66,8.4,62.08,12.6,0,0,Oak Park Unified,56.84,0,15.5,10,5.5,73.88,9.97,0
30.47,3,7,152.25,21.2,77.9,24,0,0,Moorpark Unified,133.93,0,41.12,16.75,5.3,87.2,21.3,14.17
18.51,3,10,147,35.7,51.77,20.75,0,0,Santa Paula Unified,122.88,0,24.07,15,6.6,73.08,12,1.17
38.15,4,8.7,217.29,69.53,170.2,27.89,0,0,Davis Joint Unified,123.96,0,41.11,19.19,8.3,135.85,25.75,0
1,1,0,22.44,2.18,11,4,0,0,Esparto Unified,25,0,7,3.05,1,16.06,2.4,0
6.81,1,2,42.62,6.13,22.06,6,0,0,Winters Joint Unified,34.76,0,8.75,7,1,23.45,4.5,1
19,6,3.9,262.94,31.5,99.5,42.51,0,0,Woodland Joint Unified,192.75,0,46.75,25.8,7.9,149.17,36.15,1
0,0,0,8.39,0,4.25,0.79,0,0,Camptonville Elementary,5.25,0,7,3.4,0,15.07,2.8,0
63.1,0,1,261.74,8,95.56,43.45,0.8,0,Marysville Joint Unified,185.56,0,69.1,25.3,6.9,121.18,10.5,0
4.32,1,0,52.8,2,8.95,8,0,0,Plumas Lake Elementary,26.55,0,5,3,0,0,1,0
0,0,0,0,0,0,0,0,0,Wheatland Elementary,0,0,0,0,0,0,0,0
0,0.3,0,0.03,0,3.6,0,0,0,Wheatland Union High,15.5,0,6.81,2.5,1,34.17,0,0
