District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Name,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
2,1,1.32,113.31,78.34,16.3,21.58,0,0,Maricopa Unified,8.63,0,61.2,21.69,0.96,93.09,55.18,0
0,0.3,0,3.75,0.25,3,1.25,0,0,Mckittrick Elementary,2.5,0,1,1.1,0,0,0,0
0,0,0,5.5,0,1.26,0.5,0,0,Midway Elementary,3.82,0,1.13,1,0,0,0,0
16.25,1,1,78.48,3.03,38.66,10.5,0,0,Mojave Unified,108.35,0,14.07,7.3,1,37.76,7,4.75
7,2,2,54.25,6.7,19.47,9,0,0,Muroc Joint Unified,43.8,0,12,4,3,30.55,8,0
11,2.9,8.7,128.94,3.12,29.57,20.5,0,0,Norris Elementary,76.78,0,11.21,1.95,0,0,10.6,1
0,0,0,8,0,5.66,1,0,0,Pond Union Elementary,2.62,0,3,1,0,0,2,0
1,3,2,223.41,30.29,79.6,33,0,0,Rosedale Union Elementary,97.74,0,18,11,0,0,22,0
0,0.5,0,10,0.5,2,1,0,0,Semitropic Elementary,4,0,1,0.5,0,0,3,0
9,2,2,100.92,6,81.33,15.78,0,0,Southern Kern Unified,107.88,0,20.75,14,3,57.33,12.8,2.67
0,0,0,0,0,0,0,0,0,South Fork Union Elementary,0,0,0,0,0,0,0,0
9.63,1,1,116.77,3,38.67,19.72,0,0,Standard Elementary,68.96,0,10.21,9,0,0,12,1
0,0,0,0,0,0,0,0,0,Taft City Elementary,0,0,0,0,0,0,0,0
13,1,0,0,3.84,16,0,0,0,Taft Union High,41,0,12,3.3,3.49,71.07,2.5,1
12.5,1,1,108.31,11.64,67.52,16.53,0,0,Tehachapi Unified,69.67,0,19.75,9.99,3,58.1,11.39,1.25
5.5,1,2,33.01,0,7.5,4,0,0,Vineland Elementary,15,0,4,1,0,0,2,0
24.5,3,1,141.89,1,36.92,23.62,0,0,Wasco Union Elementary,62.6,0,21.92,10,0,0,27,0
5,1.5,0,0,5.9,6,0,0,0,Wasco Union High,37.75,0,16,4,6,84.8,0,0
3.75,1.7,0.25,38.5,3.29,9.98,6.5,0,0,Rio Bravo-Greeley Union Elementary,21.54,0,7.75,2.07,0,0,5.18,0
20.06,4,9.5,132.64,11.83,93.93,20.17,0,0,Sierra Sands Unified,101.3,0,26.28,14.28,5.3,70.25,4.84,0
16,2,4,84.57,12.17,21.26,13.29,0,0,Mcfarland Unified,75.19,0,22.3,12.65,2.65,45.59,9.9,0
2.88,2,0,20.83,0,7.05,3.33,0,0,El Tejon Unified,23.82,0,5.88,2.5,0.37,12.43,0.56,0
