Name,URL
Central+Union+High,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Central+Union+High&ID2=0608010&details=
El+Centro+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=El+Centro+Elementary&ID2=0612030&details=
Heber+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Heber+Elementary&ID2=0616830&details=
Holtville+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Holtville+Unified&ID2=0617430&details=
Imperial+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Imperial+Unified&ID2=0618210&details=
Magnolia+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Magnolia+Union+Elementary&ID2=0623460&details=
Mccabe+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Mccabe+Union+Elementary&ID2=0624180&details=
Meadows+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Meadows+Union+Elementary&ID2=0624390&details=
Mulberry+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Mulberry+Elementary&ID2=0626430&details=
San+Pasqual+Valley+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=San+Pasqual+Valley+Unified&ID2=0635070&details=
Seeley+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Seeley+Union+Elementary&ID2=0636210&details=
Westmorland+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Westmorland+Union+Elementary&ID2=0642180&details=
Big+Pine+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Big+Pine+Unified&ID2=0604950&details=
Death+Valley+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Death+Valley+Unified&ID2=0610680&details=
Lone+Pine+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Lone+Pine+Unified&ID2=0622440&details=
Owens+Valley+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Owens+Valley+Unified&ID2=0629190&details=
Round+Valley+Joint+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Round+Valley+Joint+Elementary&ID2=0633690&details=
Bishop+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Bishop+Unified&ID2=0601409&details=
Arvin+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/&details=
Bakersfield+City+Elementary,https://nces.ed.gov/ccd/districtsearch/&details=
Beardsley+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Beardsley+Elementary&ID2=0604260&details=
Belridge+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Belridge+Elementary&ID2=0604560&details=
Blake+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Blake+Elementary&ID2=0605250&details=
Panama-Buena+Vista+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/&details=
